AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
130	girl	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	89	80.8	84.3	1	7	3	Selected	State	0	1	high
129	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	70	81	79	1	2	5	Not Selected	State	0	1	high
128	boy	disagree strongly	agree strongly	disagree	agree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree strongly	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	agree strongly	83	81	82	1	10	6	Not Selected	State	0	1	high
127	boy	disagree	agree strongly	agree	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree	agree	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree	agree	disagree strongly	agree	agree	agree	agree strongly	agree	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	agree	disagree	88	81	84.5	1	12	7	Not Selected	State	0	1	high
122	girl	agree	agree	agree strongly	agree strongly	agree	agree strongly	agree	agree	disagree strongly	disagree	8	agree strongly	helemaal waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree	agree	disagree	disagree	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	84	81	81.6	1	11	7	Selected	State	0	1	high
128	boy	disagree	agree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	disagree	niet echt waar	agree strongly	agree	disagree	agree strongly	agree	disagree	agree	disagree	disagree strongly	agree strongly	agree	agree	agree	agree strongly	agree	disagree strongly	agree	agree	disagree strongly	disagree	agree	disagree	agree	disagree strongly	agree	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	76.75	81.5	79.06	1	10	6	Not Selected	State	0	1	high
129	girl	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	agree	disagree	disagree strongly	9	disagree strongly	helemaal waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	77	81.5	83.5	1	18	7	Selected	Catholic	1	0	high
129	boy	agree	disagree	disagree strongly	agree	disagree strongly	agree	agree	agree	disagree strongly	disagree	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree strongly	disagree strongly	agree	agree	disagree strongly	agree	disagree strongly	agree	85.18	81.78	79.4	0	10	6	Not Selected	State	0	1	high
124	boy	disagree strongly	agree strongly	disagree	agree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal waar	agree strongly	agree	disagree strongly	disagree	agree	agree	disagree	disagree	disagree strongly	agree	agree	agree	agree	agree strongly	disagree	disagree	agree	agree	disagree strongly	disagree strongly	agree	disagree	disagree	agree	disagree	disagree	disagree	disagree strongly	disagree	agree	disagree	disagree strongly	disagree	agree	agree	87	82	86	1	4	2	Not Selected	State	0	1	high
124	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly		agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	agree	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree	agree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree strongly	agree strongly	85	82	82	1	6	4	Not Selected	State	0	1	high
122	boy	disagree	agree	disagree strongly	disagree strongly	disagree	agree strongly	disagree strongly	disagree	agree strongly	agree	1	agree strongly	niet echt waar	agree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree	agree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree	disagree	disagree strongly	disagree	agree	agree	agree	disagree	agree	agree	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree	86.25	82	86.25	1	2	6	Not Selected	State	0	1	high
127	girl	disagree strongly	agree	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree strongly	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree	agree	agree	agree	disagree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	90	82	86.5	1	6	5	Selected	Catholic	1	0	high
124	girl	disagree strongly	agree	disagree	agree strongly	disagree	agree strongly	agree	disagree	agree	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree	agree strongly	agree	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	agree	agree strongly	86	82	84	1	4	6	Selected	Catholic	1	0	high
122	boy	agree	disagree	agree	disagree	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	agree	disagree	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree	disagree	agree strongly	87.06	82.36	86.58	1	10	6	Not Selected	State	0	1	high
128	girl	agree	agree	agree strongly	disagree	disagree	agree strongly	agree	disagree	disagree	disagree	8		helemaal waar	agree	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree	agree	85	82.5	83.13	1	10	5	Selected	Catholic	1	0	high
130	girl	agree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	een beetje waar	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	agree strongly	agree	agree strongly	agree	disagree strongly	agree	agree	agree	agree strongly	agree strongly	agree	agree strongly	agree	agree strongly	agree	agree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	85	82.5	85.2	1	2	7	Selected	State	0	1	high
126	boy	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly		agree	agree strongly	agree strongly	disagree strongly		agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree	80.5	83	86	1	0	4	Not Selected	State	0	1	high
126	boy	disagree	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	disagree	agree	disagree	5	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree	agree	agree	agree	agree	agree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	agree strongly	disagree	agree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree	81	83	82	1	15	5	Not Selected	State	0	1	high
122	boy	agree	disagree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree	5	agree	een beetje waar	agree strongly	agree	agree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	agree	agree	agree	agree	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	79	83	82	0	10	6	Not Selected	State	0	1	high
128	boy	agree	agree strongly	disagree	agree	disagree	agree	agree	agree	disagree strongly	agree	0	agree	helemaal niet waar	disagree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	disagree	disagree	agree	agree	agree	disagree	disagree strongly	agree	disagree strongly	agree	agree	agree	disagree strongly	90	83	87	1	12	7	Not Selected	State	0	1	high
127	boy	disagree strongly	disagree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree	disagree strongly	7	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	82.6	83	82	1	18	7	Not Selected	Catholic	1	0	high
127	boy	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal waar	disagree	agree strongly	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly		disagree	agree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	agree strongly	disagree	agree	disagree	agree	agree	disagree	agree strongly	disagree strongly	disagree	disagree	disagree strongly	agree strongly	83	83	81	1	15	9	Not Selected	COE	0	0	high
129	girl	agree	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	disagree	disagree	4	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	disagree	agree strongly	agree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree strongly	80	83.2	81.5	1	13	6	Selected	COE	0	0	high
126	boy	disagree	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	agree	disagree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	disagree	agree	agree	disagree	agree	agree	disagree strongly	disagree strongly	agree	disagree	disagree strongly	agree	disagree strongly	disagree	77.5	83.3	81.2	1	2	4	Not Selected	State	0	1	high
125	boy	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	disagree	agree	disagree	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree	disagree	disagree	77	83.3	79.6	1	14	6	Not Selected	State	0	1	high
118	girl	disagree	agree	disagree	disagree	disagree	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree	agree	agree	agree strongly	agree	agree	agree	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree	agree	agree	90.4	83.3	88.5	1	9	6	Selected	State	0	1	high
129	girl	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree	helemaal niet waar	agree strongly	agree strongly	disagree	agree strongly	agree	agree	agree	agree	disagree strongly	disagree	agree	agree	agree	agree strongly	disagree	disagree strongly	agree	agree	disagree strongly	agree	agree	agree	agree	agree	disagree	agree	disagree strongly	disagree strongly	disagree	agree	disagree strongly	disagree	disagree strongly	agree	agree strongly	80.8	83.3	82.3	1	13	6	Selected	COE	0	0	high
119	girl	disagree	agree strongly	agree	disagree	agree	agree strongly	agree	agree	disagree	disagree strongly	8	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree	agree strongly	agree strongly	agree	agree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	disagree	agree strongly	83.3	83.3	84.1	1	18	10	Selected	State	0	1	high
120	boy	disagree	agree	disagree	agree	agree	agree strongly	agree strongly	disagree strongly	disagree	disagree	4	agree strongly	helemaal waar	agree strongly	agree	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	agree	disagree strongly	disagree	agree	agree	81	83.5	84	1	8	6	Not Selected	State	0	1	high
129	girl	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree	agree strongly	agree	agree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	agree strongly	82.9	83.6	82.8	1	11	4	Selected	State	0	1	high
128	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	85.4	84	82.8	1	16	6	Not Selected	State	0	1	high
129	girl	disagree	agree	agree	agree strongly	disagree	agree strongly	agree	disagree	agree strongly	agree strongly	7	agree	een beetje waar	disagree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree	agree strongly	agree	disagree	agree strongly	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree	agree	disagree	agree	disagree	disagree	agree	disagree strongly	agree	agree	disagree	disagree	81	84	85	1	15	8	Selected	State	0	1	high
119	boy	agree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree	5	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	agree	agree	disagree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree	agree strongly	disagree	84.91	84.12	84.9	1	10	6	Not Selected	State	0	1	high
121	boy	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree strongly	helemaal niet waar	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	92	84.2	84.7	1	2	4	Not Selected	State	0	1	high
129	boy	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	0	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	agree	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree strongly	agree	82.13	84.25	80.81	1	2	4	Not Selected	State	0	1	high
126	girl	disagree strongly	agree	disagree strongly	disagree strongly	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree	agree	agree	agree	disagree strongly	disagree strongly	disagree strongly	agree	agree	agree	agree	agree	agree	agree	agree	agree	agree strongly	disagree strongly	agree	agree	disagree strongly	disagree strongly	85.5	84.3	84.7	1	10	6	Selected	State	0	1	high
121	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	86.9	84.4	85.3	1	13	7	Not Selected	Catholic	1	0	high
127	boy	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree strongly	agree	agree	disagree strongly	agree	agree strongly	disagree	agree strongly	agree	agree	agree	82	85	81.5	1	8	4	Not Selected	State	0	1	high
124	boy	disagree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	disagree strongly	agree	agree	disagree	4	agree strongly	niet echt waar	agree	agree	disagree strongly	disagree	agree	agree	disagree strongly	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	disagree strongly	agree	disagree strongly	agree	agree	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	87.06	85	89.53	1	8	6	Not Selected	State	0	1	high
126	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree	90.6	85	87.7	1	10	6	Not Selected	State	0	1	high
125	boy	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	een beetje waar	agree	agree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree	disagree strongly	agree	agree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree strongly	agree	agree strongly	86.7	85	86.5	1	10	6	Not Selected	State	0	1	high
119	girl	disagree strongly	agree	disagree strongly	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	9	agree strongly	helemaal niet waar	disagree	agree strongly	agree strongly	agree	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree	disagree	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree strongly	agree	agree strongly	disagree	agree strongly	91	85	88.2	1	4	6	Selected	Catholic	1	0	high
123	girl	agree	agree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree	niet echt waar	disagree strongly	agree strongly	disagree strongly	agree	agree	agree	disagree	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree	agree strongly	disagree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	agree	89.5	85	88.5	1	10	6	Selected	State	0	1	high
128	girl	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	disagree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	disagree	agree strongly	agree	disagree	disagree	agree	agree strongly	disagree	agree	disagree	disagree	disagree strongly	88.5	85	88.2	1	10	6	Selected	State	0	1	high
